Section,Excerpt,ImageName,Alt
Historic electron measurements,Recreating physics history with Thomson's experiment measuring the charge-to mass ratio of the electron and Millikan's oil drop experiment.,electroncollection.jpg,Electron Beam
Waves and Optics,"Featuring a variety of experiments regarding microwave interferometry, waveguides, and standing sound waves.",wavesandopticshead.png,Rubens Tube
Mechanics,Featuring two contributions analyzing the period of pendulums.,Mechanicshead.png,A figure of pendulum periods
Quantum Phenomena,Two rapid communications analyzing the photoelectric effect and radioactive decay as well as an original article on quantum computing.,Quantumhead.png,Bloch Sphere
Aerospace Sciences,"Two articles presenting original research in propellant gauging, and an overview of major topics in aerospace engineering.",Aerospacehead.png,PROTO project
Astronomy and Astrophysics,Featuring three original articles on general relativity and current topics of interest in cosmology.,CMB.png,Cosmic microwave background
